dpt_id,total_fee_amount,document_type_name
69e9566b3f4d6cb7db2216121b0cd0308c516e680e9c782ef70c02a782884750,380.0,PAY-OUT
961d6f7efde3622da8f35e76e2b53acd84c647a661de8618ea95fb2c4af6eef5,273.6,PAY-OUT
6441defc089b4ae947cce529904a5c7db2326ede52bdaa23adcdfccb5d260cc4,19190.0,PAY-OUT
64152dd86b2c5d1af6aaa911e7a229dc539273e0a7b8be6e2ff15fe14a1e9b7a,450.0,PAY-IN
ae4ddde99c8fe7f73fb3c2ee0e157e886b52417ece17bd0ce51d7fb6ac8643b7,1000.0,PAY-IN
8a9e80525bec12e643f0ac41f55e979c472a9e08213add6e588114e0c6a2a4d3,12064.0,PAY-IN
78026fcd3461b0762115e54fe8172c77486aa2844c5047f8892e80df61e9d68b,155.0,PAY-IN
ef162954639d4f0d3c83cd9410a212e8689972ee300830867a8f6419dd90ccc8,1000.0,PAY-OUT
43e746b799d37d90c6d1d7238f71b4c8440e29ff40bf022c330bd329d1bbfd7f,8700.0,PAY-OUT
7faa2b826be117b28ded800ea17e996259a94135c4aef269fb6b190b85c2d7da,214500.0,PAY-IN
cb333ab854859a951ad19127af4ac0cb96584f5e81093dac65d53944cdac4e3f,0.0,PAY-IN
937f22627f075c6afeb4e8c5498d26b68c1a9f43dfd0650eb45fe254bb0261c3,0.0,PAY-IN
3994ae53eabf3ffe2d20340a45f3c75b99c8458815bc1c229cb2dd0ce08b5c9f,1429266.7255000002,PAY-OUT
ba14f4e13c10b76a46e9d073584a97ebec5a56a8d66d183a28af17d828f40b57,0.0,PAY-IN
a6dcc743fe284523416b67914fe1c5b11bb26e70999b92486d3f8aa8f52c5e77,12518679.6648,PAY-OUT
83065c132f3442c5bba57a3d08a8b0a088b94d5ae14070e039bb4d2d3a0fbd8f,1400.0,PAY-IN
f05cc8efb2af81661274d0cf8686e4c4472650746df7e90692996493d78a4bb4,217.5,PAY-IN
2d2378e0f0a8786dccf6fc23e1ec68a68b5d2d818dc2ccffd34d3b26a5041430,1550000.0,PAY-OUT
531fec69a34adc6efbecdd7338d01cff2330a9fe02374f6e87bb183326efab18,87400.0,PAY-IN
476338be3ccf3ef7f29424032a80acfdccaec2e5897fbd7ca26859a79775c127,2500.0,PAY-IN
a201c49f8f03e22169c73acc5101bc27140e4e55724163d5a951b50d07f367ce,145.0,PAY-IN
e59315be3c431647d36964e47fa145ed8a92b77c1d895ce6731ff5865baa912c,1000.0,PAY-IN
890aa93fbe0e0edce8ab0bbe3d9fe06d684336991b2652ce679dd27057a601c0,0.0,PAY-OUT
5dace8532f7bb6151e614d77ad1e79f593e751a6b2641441517bb69abc18edd2,21850.0,PAY-IN
a51c996d47c289ada00be271807d10d8c7095d1ad83ce81fbf68abb45754f2c3,485.75,PAY-IN
47224d9454a983447cdd81f01249d32f52c16055f4e3372c5a2d3edc17fc5484,165000.0,PAY-OUT
4de3eefed474f74af5d42ed129c72202077ef4aed9b0ed86365148287ffecc42,1000.0,PAY-IN
c46c78d22c05b40d376e867b9b118c21fb757da352052c3f370b7a0e2012a97e,310.0,PAY-IN
a7214ee98d8c9fee579076360aad623fb7aaeb0820cb9d6c300deb3b88d648ad,201.5,PAY-IN
78e33eb94187e533470ffeff94f534a84f53e9b847397650f8d7cfd0e964887d,3100.0,PAY-OUT
c71512a78e8f468cd360959609926c360a5bacbe94f26df4c603b3131dd9fcdf,65642.5,PAY-OUT
8f110fe98176434656c2867d9249317973607c14fc91578d7732c4cb69dab96e,782460.0,PAY-IN
3e98cba2f9665b8d7e3f1956a56723badc234cac1b16807d382dc201354326af,24226.5,PAY-IN
c66dead6e830ac405d7179b31b356765cedb6e4e421211dc596aa38da977af7f,203012.673,PAY-OUT
63013866b06a6bfdb1e3e046d42eaedd7fbf545c21d45a65416c10d153559e82,1392000.0,PAY-OUT
4cb47a99307f08317b97683cc5bc930354e5d95b95238a02d9b1847fdd64dc91,285.0,PAY-OUT
071b54107e4b5db18497b4d4106155b0cb8bce4933bfd2a4ad3a9d6abd31892c,3088500.0,PAY-OUT
7c636a42a6b74afb1ebd9dc1e6ef39b43186bdf93abf3730dffb8bdc340229fe,145.0,PAY-OUT
b8f777ead584e50160b63c128bf4b4c46cacaec724f4cdadd44e33007a3f2188,26600.0,PAY-OUT
63ab787038b77899bd1cd90fabc52532dd4a7d3e72be95bfb82777060deee507,10503.285,PAY-IN
091439896d41cfa63906490ef0c8a4ffae825461e91dbc0baaea019ae0fb2b5e,285.0,PAY-OUT
5bc41732395c872b45801d559b844d123f360d84a97d3c58bf213d6f7660424b,0.0,PAY-OUT
7206b1ccee084bc916537fe90a74ff4f3d6c0e8c34119bfcfacaa06538136555,188999.82,PAY-OUT
86279f1d6757d6c4ab6d5f494e937401ebc90f4919ec34cf386b041d71ca6669,37827.411499999995,PAY-OUT
9776f0d45755f551b676c762f9229c187d98f3d01399f3abe31e7cac5e84e1cd,1456.3799999999999,PAY-IN
58bd93507151e999ec68dc324be63127363d207a961e3d69597111c612f519f6,9019.0,PAY-IN
a6693a9f0556dd1e02d4cfc2a27760e243f0d195b92a2590ba8a6b6e5a2f7ccd,279.3,PAY-OUT
6988a36f5ec57f313fcd9c11d5cccd4a6e4d55c28c5237758cceaccf523286ac,1519000.0,PAY-OUT
978e93f899a8b161d8ecdf51e2e640eee237f93af80837a6b04b3c396a79e4b7,7000.0,PAY-IN
91af70346564ece4de8a1f672845b9e927d50fc7c6663ce43f20261655990eae,228.23749999999998,PAY-IN
8256f8c0af52c7aab6fdcadc8f04f92716e6c1f3feb147a4efab4fc6dde1fa96,2500.0,PAY-IN
401743c41b740e8740073f7cc92eb28cf168ddc69a01b2b83dd29ca10ef7d10e,932.2919999999999,PAY-OUT
4ec9c01a7dfabc32bd93f3d641d3931719cd775a09717df0b510c619fdbdb112,300.0,PAY-IN
81e3c5856c80843f73bcceb05f449b7666b26a4d139536090a8164812ab04a85,362.5,PAY-IN
0247039f7aae56faa4ec183907c2f523c77ba23582d19ea05035dd8cd4178054,1400.0,PAY-IN
b6b7962cdedcff94252b665ede6ba547dd7ec2c748104fd4e0b5bcc5539366c0,232500.0,PAY-IN
371b11f0bb3955820e9768c339b05a11c8f501487fa3fa7e6a61f54b675d9bbc,155.0,PAY-OUT
dd4bd7d7dd2bf1ec0d65e463331c504964b41ff603fcdf40bcf6371efda2afd5,228.625,PAY-IN
34351bd95979cade29d1db917ae6a2f98995bd764b5125f312d99f7b27af9c65,26600.0,PAY-OUT
0c7ce3d50dc81f4e31dc082fb5bd74b3b0bbf4780825ceb27650e2ec90b51664,0.0,PAY-OUT
117647c0f6a590e1d4ae86d4070db184b4abf70616e582882d719e835d620fc8,7500000.0,PAY-OUT
a372945761521f26a32be681dfd1d708f84677a4fbd0c6a377afafedd14e371b,116000.0,PAY-OUT
16a4a515a15c1bba6fc8c68ecce9968f5ac4676737ebc37c9260e84215c43112,130500.0,PAY-IN
6c8d115996165e0d14cfffb2d468302785c426f4866e4e5680857a78eaa6a1b5,465.5,PAY-OUT
577e072b57123e551e2fd90c0cba7fa2466d6321fb4b73998d6f8871419cdd25,931.0,PAY-OUT
